,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,0,0,0,0,partie,part
1,1,1,1,1,1,1,1,histoire,history
2,2,2,2,2,2,2,2,chercher,search
3,3,3,3,3,3,3,3,seulement,only
4,4,4,4,4,4,4,4,police,police
5,5,5,5,5,5,5,5,pensais,thought
6,6,6,6,7,7,8,8,genre,kind
7,8,8,9,10,10,11,11,laisser,let
8,9,9,10,11,11,12,12,car,because
9,10,10,11,12,12,13,13,mettre,to put
10,11,11,12,13,13,14,14,aucun,no
11,12,12,13,14,14,15,15,laisse,leash
12,13,13,14,15,15,16,16,eux,them
13,14,14,15,16,16,17,17,ville,city
14,15,15,16,17,17,18,18,chaque,each
15,16,16,17,18,18,19,19,parlé,speak
16,17,17,18,19,19,20,20,arrivé,come
17,18,18,19,20,20,21,21,devrait,should
18,19,19,20,21,21,22,22,bébé,baby
19,20,20,21,22,22,23,23,longtemps,long time
21,22,22,23,24,24,25,25,vont,will
22,23,23,24,25,25,27,27,revoir,meet again
24,25,25,26,27,27,29,29,place,square
25,26,26,27,28,28,30,30,parle,speak
26,27,27,28,29,29,31,31,compris,understood
27,29,29,30,31,31,33,33,étaient,were
28,30,30,31,32,32,34,34,attention,Warning
30,32,32,33,34,34,36,36,pourrais,could
32,34,34,35,36,36,38,38,donner,give
34,36,37,38,39,39,41,41,donné,given
35,37,38,39,40,40,42,42,train,train
36,38,39,40,41,41,43,43,corps,body
37,39,40,42,43,43,45,45,yeux,eyes
39,41,42,44,45,45,47,47,écoute,listen
40,42,43,45,46,46,48,48,dont,whose
41,43,44,46,47,47,49,49,trouve,find
45,47,48,50,51,51,53,54,côté,side
47,49,50,52,53,53,55,56,vieux,old
49,51,52,54,55,55,57,58,tiens,here
50,52,53,55,56,56,58,59,matin,morning
51,53,54,56,58,58,60,61,enfant,child
52,54,55,57,59,59,61,62,point,point
54,56,57,59,61,61,63,64,suite,after
55,57,58,60,62,62,65,66,venez,come
56,58,59,61,64,64,68,69,minutes,minutes
57,59,60,62,65,65,69,70,demandé,request
58,60,61,63,66,66,70,71,chambre,bedroom
59,61,62,64,67,67,71,72,mis,placed
60,62,63,65,68,68,72,73,belle,beautiful
62,64,65,67,70,70,74,75,aimerais,would like to
63,65,66,68,71,71,75,76,aujourd'hui,today
65,67,68,70,73,73,78,79,enfin,finally
66,68,69,71,74,74,79,80,espère,hope
67,69,70,72,75,75,80,81,eau,water
69,71,72,74,77,77,82,84,nouvelle,new
70,72,73,75,78,78,83,85,boulot,job
71,73,74,76,79,79,84,86,arrêter,Stop
72,74,75,77,80,80,85,88,terre,Earth
74,76,78,80,83,83,88,91,loin,far
75,77,79,81,84,84,89,92,fin,end
76,78,80,82,85,85,90,93,croire,believe
77,79,81,83,86,86,91,94,chérie,sweetheart
78,80,82,84,87,87,92,95,gros,large
79,81,83,85,88,88,93,96,plutôt,rather
80,82,84,86,89,89,94,97,aura,will have
